turn,player,money,tap
12,0,1480,2088
12,1,2105,1928
13,0,1480,2088
13,1,2105,1928
14,0,1480,2088
14,1,2105,1928
15,0,1480,2088
15,1,2105,1928
16,0,1480,2088
16,1,2105,1928
17,0,2055,2928
17,1,1305,1928
18,0,1955,2928
18,1,1305,1928
19,0,1955,2928
19,1,1305,1928
20,0,1705,2928
20,1,1755,1928
21,0,1705,2928
21,1,1755,1928
22,0,1705,2928
22,1,1755,1928
23,0,1705,2928
23,1,1955,1928
24,0,1705,2928
24,1,1955,1928
25,0,1755,2928
25,1,1905,1928
26,0,1755,2928
26,1,1905,1928
27,0,1755,2928
27,1,1905,1928
28,0,1755,2928
28,1,1905,1928
29,0,1755,2928
29,1,1905,1928
0,0,1550,1148
0,1,1585,1203
1,0,1550,1148
1,1,1585,1203
2,0,1450,1148
2,1,1585,1203
3,0,1450,1148
3,1,1585,1203
4,0,1450,1148
4,1,1585,1203
5,0,1450,1148
5,1,1585,1203
6,0,1450,1148
6,1,1585,1203
7,0,1450,1148
7,1,1585,1203
8,0,1450,1148
8,1,1585,1203
9,0,1450,1148
9,1,1685,1528
10,0,1450,1148
10,1,1685,1528
11,0,1450,1148
11,1,1685,1528
12,0,1250,1148
12,1,1785,1928
13,0,1250,1148
13,1,1785,1928
14,0,1450,1148
14,1,1785,1928
15,0,1780,1148
15,1,1455,1928
16,0,1780,1148
16,1,1455,1928
17,0,1780,1148
17,1,1455,1928
18,0,1780,1148
18,1,1455,1928
19,0,1780,1148
19,1,1455,1928
20,0,1680,1148
20,1,1455,1928
21,0,1680,1148
21,1,1455,1928
22,0,1805,1618
22,1,1455,1928
23,0,1805,1618
23,1,1455,1928
24,0,1805,1618
24,1,1455,1928
25,0,1805,1618
25,1,1455,1928
26,0,1805,1618
26,1,1455,1928
27,0,1805,1618
27,1,1455,1928
28,0,1755,1618
28,1,1705,1928
29,0,1965,2578
29,1,1345,1928
0,0,1550,1148
0,1,1585,1203
1,0,1550,1148
1,1,1585,1203
2,0,1550,1148
2,1,1585,1203
3,0,1730,2088
3,1,1255,1203
4,0,1630,2088
4,1,1255,1203
5,0,1630,2088
5,1,1255,1203
6,0,1630,2088
6,1,1255,1203
7,0,1630,2088
7,1,1455,1203
8,0,1630,2088
8,1,1455,1203
9,0,1630,2088
9,1,1455,1203
10,0,1630,2088
10,1,1455,1203
11,0,1630,2088
11,1,1455,1203
12,0,1630,2088
12,1,1455,1203
13,0,1630,2088
13,1,1455,1203
14,0,1580,2088
14,1,1505,1203
15,0,1580,2088
15,1,1505,1203
16,0,1780,2088
16,1,1505,1203
17,0,1755,2578
17,1,1655,1203
18,0,1755,2578
18,1,1655,1203
19,0,1755,2578
19,1,1655,1203
20,0,1755,2578
20,1,1655,1203
21,0,1755,2578
21,1,1655,1203
22,0,1755,2578
22,1,1655,1203
23,0,1755,2578
23,1,1655,1203
24,0,1555,2578
24,1,1855,1203
25,0,1555,2578
25,1,1855,1203
26,0,1755,2578
26,1,1855,1203
27,0,1755,2578
27,1,1855,1203
28,0,1705,2578
28,1,1905,1203
29,0,1705,2578
29,1,1905,1203
0,0,1550,1148
0,1,1585,1203
1,0,1550,1148
1,1,1585,1203
2,0,1675,1618
2,1,1585,1203
3,0,1675,1618
3,1,1585,1203
4,0,1675,1618
4,1,1585,1203
5,0,1855,2578
5,1,1255,1203
6,0,1855,2578
6,1,1255,1203
7,0,1855,2578
7,1,1255,1203
8,0,1855,2578
8,1,1255,1203
9,0,1855,2578
9,1,1255,1203
10,0,1855,2578
10,1,1255,1203
11,0,1855,2578
11,1,1455,1203
12,0,1680,2578
12,1,1630,1203
13,0,1680,2578
13,1,1630,1203
14,0,1630,2578
14,1,1880,1203
15,0,1630,2578
15,1,1880,1203
16,0,1630,2578
16,1,1880,1203
17,0,2130,3278
17,1,1080,1128
18,0,2130,3278
18,1,1080,1128
19,0,2130,3278
19,1,1080,1128
20,0,2130,3278
20,1,1080,1128
21,0,2130,3278
21,1,1280,1128
22,0,2105,3278
22,1,1305,1128
23,0,2105,3278
23,1,1305,1128
24,0,1855,3278
24,1,1755,1128
25,0,1855,3278
25,1,1755,1128
26,0,1855,3278
26,1,1755,1128
27,0,1855,3278
27,1,1755,1128
28,0,1855,3278
28,1,1755,1128
29,0,2613,3720
29,1,780,613
0,0,1550,1148
0,1,1585,1203
1,0,1550,1148
1,1,1585,1203
2,0,1300,1148
2,1,1835,1928
3,0,1630,1148
3,1,1505,1928
4,0,1630,1148
4,1,1505,1928
5,0,1840,2088
5,1,1145,1828
